,,,Availability,,,
Company,Quarter,Sector,Transcript,Notes,PPT,Concall Audio
Adani Ports And Special Economic Zones Ltd.,Q4-2024,Port and Logistics,TRUE,TRUE,TRUE,FALSE
Adani Ports And Special Economic Zones Ltd.,Q1-2025,Port and Logistics,TRUE,TRUE,TRUE,TRUE
Adani Ports And Special Economic Zones Ltd.,Q2-2025,Port and Logistics,TRUE,TRUE,TRUE,FALSE
Adani Ports And Special Economic Zones Ltd.,Q3-2025,Port and Logistics,TRUE,TRUE,TRUE,TRUE
Adani Ports And Special Economic Zones Ltd.,Q4-2025,Port and Logistics,TRUE,TRUE,TRUE,TRUE
Aditya Birla Real Estate Ltd.,Q4-2024,Real Estate,TRUE,TRUE,TRUE,FALSE
Aditya Birla Real Estate Ltd.,Q1-2025,Real Estate,TRUE,TRUE,TRUE,FALSE
Aditya Birla Real Estate Ltd.,Q2-2025,Real Estate,TRUE,TRUE,TRUE,FALSE
Aditya Birla Real Estate Ltd.,Q3-2025,Real Estate,TRUE,TRUE,TRUE,FALSE
Aditya Birla Real Estate Ltd.,Q4-2025,Real Estate,TRUE,TRUE,TRUE,TRUE
Infosys Ltd.,Q2-2025,Tech,TRUE,TRUE,FALSE,FALSE
Infosys Ltd.,Q3-2025,Tech,TRUE,TRUE,TRUE,FALSE
Infosys Ltd.,Q4-2025,Tech,TRUE,TRUE,TRUE,TRUE
Infosys Ltd.,Q1-2026,Tech,TRUE,TRUE,TRUE,FALSE
Infosys Ltd.,Q2-2026,Tech,TRUE,TRUE,FALSE,TRUE
Tata Consultancy Services Ltd.,Q2-2025,Tech,TRUE,TRUE,TRUE,TRUE
Tata Consultancy Services Ltd.,Q3-2025,Tech,TRUE,TRUE,TRUE,TRUE
Tata Consultancy Services Ltd.,Q4-2025,Tech,TRUE,TRUE,TRUE,TRUE
Tata Consultancy Services Ltd.,Q1-2026,Tech,TRUE,TRUE,TRUE,TRUE
Tata Consultancy Services Ltd.,Q2-2026,Tech,TRUE,TRUE,TRUE,TRUE
Wipro Ltd.,Q2-2025,Tech,TRUE,TRUE,TRUE,FALSE
Wipro Ltd.,Q3-2025,Tech,TRUE,TRUE,FALSE,FALSE
Wipro Ltd.,Q4-2025,Tech,TRUE,TRUE,TRUE,TRUE
Wipro Ltd.,Q1-2026,Tech,TRUE,TRUE,TRUE,TRUE
Wipro Ltd.,Q2-2026,Tech,TRUE,TRUE,TRUE,TRUE
Tech Mahindra Ltd.,Q2-2025,Tech,TRUE,TRUE,TRUE,FALSE
Tech Mahindra Ltd.,Q3-2025,Tech,TRUE,TRUE,TRUE,FALSE
Tech Mahindra Ltd.,Q4-2025,Tech,TRUE,TRUE,TRUE,TRUE
Tech Mahindra Ltd.,Q1-2026,Tech,TRUE,TRUE,TRUE,TRUE
Tech Mahindra Ltd.,Q2-2026,Tech,TRUE,TRUE,TRUE,TRUE
HCL Technologies Ltd.,Q2-2025,Tech,TRUE,TRUE,TRUE,FALSE
HCL Technologies Ltd.,Q3-2025,Tech,TRUE,TRUE,TRUE,FALSE
HCL Technologies Ltd.,Q4-2025,Tech,TRUE,TRUE,TRUE,TRUE
HCL Technologies Ltd.,Q1-2026,Tech,TRUE,TRUE,TRUE,TRUE
HCL Technologies Ltd.,Q2-2026,Tech,TRUE,TRUE,TRUE,TRUE
APOLLO MICRO SYSTEMS LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,TRUE
ASTRA MICROWAVE LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,FALSE
AVANTEL LIMITED,Q4-2025,Aerospace and Defense,FALSE,FALSE,FALSE,FALSE
AXISCADES TECH LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,FALSE
BHARAT DYNAMICS LIMITED,Q4-2025,Aerospace and Defense,FALSE,FALSE,FALSE,FALSE
BHARAT ELECTRONICS LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,FALSE,TRUE
C2C ADVANCED SYSTEMS LTD,Q4-2025,Aerospace and Defense,FALSE,FALSE,FALSE,FALSE
DATA PATTERNS INDIA LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,TRUE
DCX SYSTEMS LIMITED,Q4-2025,Aerospace and Defense,TRUE,TRUE,TRUE,FALSE
GARDEN REACH SHIP&ENG LTD,Q4-2025,Aerospace and Defense,TRUE,TRUE,FALSE,TRUE
